
#TBID:2021-04-21 09:30:00;SAM_84DC;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-04-21_09-30-00_000_369
IDDevice           = SAM_84DC
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-04-21 09:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84DC
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_13-19-54_137_939
IDDataCal = DLAB_2015-08-24_10-46-55_592_608
IntegrationTime = 32
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 236
[END] of [Attributes]
[DATA]
 0 4 0 0
 1 1506 0 0
 2 1695 0 0
 3 2100 0 0
 4 2744 0 0
 5 3598 0 0
 6 4714 0 0
 7 6065 0 0
 8 7345 0 0
 9 8322 0 0
 10 9230 0 0
 11 10320 0 0
 12 11512 0 0
 13 12856 0 0
 14 14538 0 0
 15 16230 0 0
 16 17286 0 0
 17 18066 0 0
 18 19446 0 0
 19 20851 0 0
 20 20954 0 0
 21 19970 0 0
 22 19294 0 0
 23 18677 0 0
 24 17578 0 0
 25 17336 0 0
 26 18175 0 0
 27 19003 0 0
 28 21230 0 0
 29 26057 0 0
 30 30925 0 0
 31 33986 0 0
 32 36684 0 0
 33 39867 0 0
 34 42812 0 0
 35 45255 0 0
 36 47153 0 0
 37 47872 0 0
 38 48386 0 0
 39 50739 0 0
 40 54354 0 0
 41 57196 0 0
 42 59259 0 0
 43 60814 0 0
 44 61300 0 0
 45 60623 0 0
 46 59097 0 0
 47 57704 0 0
 48 56103 0 0
 49 54287 0 0
 50 52872 0 0
 51 52247 0 0
 52 52024 0 0
 53 51614 0 0
 54 50105 0 0
 55 48172 0 0
 56 47270 0 0
 57 47489 0 0
 58 47420 0 0
 59 46926 0 0
 60 46670 0 0
 61 47134 0 0
 62 47846 0 0
 63 47948 0 0
 64 47791 0 0
 65 48636 0 0
 66 50371 0 0
 67 51979 0 0
 68 53324 0 0
 69 54376 0 0
 70 54673 0 0
 71 54473 0 0
 72 54096 0 0
 73 53814 0 0
 74 53377 0 0
 75 52565 0 0
 76 51258 0 0
 77 49748 0 0
 78 48270 0 0
 79 46748 0 0
 80 45176 0 0
 81 43746 0 0
 82 42595 0 0
 83 41743 0 0
 84 40843 0 0
 85 39183 0 0
 86 37228 0 0
 87 35900 0 0
 88 35254 0 0
 89 34777 0 0
 90 34313 0 0
 91 33790 0 0
 92 33078 0 0
 93 32286 0 0
 94 31686 0 0
 95 31279 0 0
 96 30762 0 0
 97 29892 0 0
 98 28908 0 0
 99 28154 0 0
 100 27617 0 0
 101 27023 0 0
 102 26250 0 0
 103 25341 0 0
 104 24483 0 0
 105 23737 0 0
 106 23244 0 0
 107 23172 0 0
 108 23405 0 0
 109 23519 0 0
 110 23488 0 0
 111 23397 0 0
 112 23283 0 0
 113 23018 0 0
 114 22176 0 0
 115 20737 0 0
 116 19486 0 0
 117 19142 0 0
 118 19288 0 0
 119 19325 0 0
 120 19310 0 0
 121 19384 0 0
 122 19374 0 0
 123 18830 0 0
 124 17477 0 0
 125 16051 0 0
 126 15335 0 0
 127 15182 0 0
 128 15454 0 0
 129 16203 0 0
 130 17041 0 0
 131 17604 0 0
 132 17897 0 0
 133 17968 0 0
 134 17802 0 0
 135 17325 0 0
 136 15883 0 0
 137 13147 0 0
 138 10738 0 0
 139 10735 0 0
 140 12589 0 0
 141 14227 0 0
 142 14848 0 0
 143 14810 0 0
 144 14450 0 0
 145 13901 0 0
 146 13228 0 0
 147 12565 0 0
 148 11984 0 0
 149 11477 0 0
 150 11000 0 0
 151 10536 0 0
 152 9958 0 0
 153 9137 0 0
 154 8195 0 0
 155 7458 0 0
 156 7095 0 0
 157 6945 0 0
 158 6875 0 0
 159 6810 0 0
 160 6775 0 0
 161 6764 0 0
 162 6705 0 0
 163 6549 0 0
 164 6308 0 0
 165 6009 0 0
 166 5739 0 0
 167 5528 0 0
 168 5353 0 0
 169 5172 0 0
 170 4971 0 0
 171 4800 0 0
 172 4653 0 0
 173 4514 0 0
 174 4376 0 0
 175 4238 0 0
 176 4090 0 0
 177 3892 0 0
 178 3626 0 0
 179 3332 0 0
 180 3063 0 0
 181 2882 0 0
 182 2751 0 0
 183 2646 0 0
 184 2545 0 0
 185 2476 0 0
 186 2437 0 0
 187 2388 0 0
 188 2272 0 0
 189 2085 0 0
 190 1860 0 0
 191 1681 0 0
 192 1571 0 0
 193 1528 0 0
 194 1518 0 0
 195 1521 0 0
 196 1513 0 0
 197 1528 0 0
 198 1536 0 0
 199 1563 0 0
 200 1608 0 0
 201 1645 0 0
 202 1671 0 0
 203 1686 0 0
 204 1693 0 0
 205 1696 0 0
 206 1687 0 0
 207 1690 0 0
 208 1684 0 0
 209 1676 0 0
 210 1654 0 0
 211 1628 0 0
 212 1600 0 0
 213 1572 0 0
 214 1539 0 0
 215 1510 0 0
 216 1480 0 0
 217 1452 0 0
 218 1422 0 0
