
#TBID:2021-05-03 02:30:00;SAM_84C8;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-05-03_02-30-00_000_995
IDDevice           = SAM_84C8
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-05-03 02:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84C8
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_12-14-03_013_778
IDDataCal = DLAB_2015-08-24_11-04-47_772_747
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 798
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1216 0 0
 2 1207 0 0
 3 1210 0 0
 4 1212 0 0
 5 1213 0 0
 6 1210 0 0
 7 1209 0 0
 8 1210 0 0
 9 1212 0 0
 10 1214 0 0
 11 1218 0 0
 12 1217 0 0
 13 1212 0 0
 14 1211 0 0
 15 1215 0 0
 16 1217 0 0
 17 1213 0 0
 18 1212 0 0
 19 1216 0 0
 20 1217 0 0
 21 1216 0 0
 22 1220 0 0
 23 1217 0 0
 24 1219 0 0
 25 1216 0 0
 26 1210 0 0
 27 1215 0 0
 28 1212 0 0
 29 1216 0 0
 30 1220 0 0
 31 1221 0 0
 32 1214 0 0
 33 1218 0 0
 34 1220 0 0
 35 1217 0 0
 36 1217 0 0
 37 1216 0 0
 38 1221 0 0
 39 1213 0 0
 40 1218 0 0
 41 1217 0 0
 42 1204 0 0
 43 1218 0 0
 44 1212 0 0
 45 1219 0 0
 46 1218 0 0
 47 1223 0 0
 48 1223 0 0
 49 1226 0 0
 50 1217 0 0
 51 1222 0 0
 52 1222 0 0
 53 1218 0 0
 54 1215 0 0
 55 1222 0 0
 56 1220 0 0
 57 1222 0 0
 58 1224 0 0
 59 1217 0 0
 60 1213 0 0
 61 1214 0 0
 62 1223 0 0
 63 1223 0 0
 64 1217 0 0
 65 1219 0 0
 66 1218 0 0
 67 1226 0 0
 68 1222 0 0
 69 1220 0 0
 70 1228 0 0
 71 1221 0 0
 72 1220 0 0
 73 1225 0 0
 74 1219 0 0
 75 1225 0 0
 76 1226 0 0
 77 1225 0 0
 78 1225 0 0
 79 1224 0 0
 80 1222 0 0
 81 1224 0 0
 82 1228 0 0
 83 1222 0 0
 84 1224 0 0
 85 1222 0 0
 86 1225 0 0
 87 1221 0 0
 88 1222 0 0
 89 1220 0 0
 90 1226 0 0
 91 1223 0 0
 92 1224 0 0
 93 1221 0 0
 94 1221 0 0
 95 1222 0 0
 96 1228 0 0
 97 1227 0 0
 98 1222 0 0
 99 1221 0 0
 100 1224 0 0
 101 1228 0 0
 102 1220 0 0
 103 1225 0 0
 104 1227 0 0
 105 1234 0 0
 106 1223 0 0
 107 1226 0 0
 108 1221 0 0
 109 1227 0 0
 110 1226 0 0
 111 1234 0 0
 112 1229 0 0
 113 1228 0 0
 114 1226 0 0
 115 1230 0 0
 116 1232 0 0
 117 1220 0 0
 118 1224 0 0
 119 1226 0 0
 120 1219 0 0
 121 1226 0 0
 122 1225 0 0
 123 1224 0 0
 124 1224 0 0
 125 1220 0 0
 126 1224 0 0
 127 1232 0 0
 128 1220 0 0
 129 1228 0 0
 130 1220 0 0
 131 1226 0 0
 132 1225 0 0
 133 1256 0 0
 134 1233 0 0
 135 1229 0 0
 136 1227 0 0
 137 1228 0 0
 138 1227 0 0
 139 1229 0 0
 140 1224 0 0
 141 1221 0 0
 142 1229 0 0
 143 1230 0 0
 144 1229 0 0
 145 1229 0 0
 146 1228 0 0
 147 1224 0 0
 148 1230 0 0
 149 1228 0 0
 150 1224 0 0
 151 1230 0 0
 152 1231 0 0
 153 1222 0 0
 154 1227 0 0
 155 1223 0 0
 156 1228 0 0
 157 1226 0 0
 158 1228 0 0
 159 1226 0 0
 160 1228 0 0
 161 1225 0 0
 162 1225 0 0
 163 1224 0 0
 164 1222 0 0
 165 1227 0 0
 166 1226 0 0
 167 1228 0 0
 168 1224 0 0
 169 1219 0 0
 170 1228 0 0
 171 1223 0 0
 172 1228 0 0
 173 1222 0 0
 174 1228 0 0
 175 1231 0 0
 176 1223 0 0
 177 1226 0 0
 178 1225 0 0
 179 1227 0 0
 180 1222 0 0
 181 1227 0 0
 182 1225 0 0
 183 1228 0 0
 184 1221 0 0
 185 1229 0 0
 186 1229 0 0
 187 1226 0 0
 188 1228 0 0
 189 1226 0 0
 190 1218 0 0
 191 1224 0 0
 192 1227 0 0
 193 1222 0 0
 194 1225 0 0
 195 1230 0 0
 196 1224 0 0
 197 1224 0 0
 198 1224 0 0
 199 1229 0 0
 200 1230 0 0
 201 1230 0 0
 202 1224 0 0
 203 1223 0 0
 204 1229 0 0
 205 1224 0 0
 206 1222 0 0
 207 1222 0 0
 208 1223 0 0
 209 1225 0 0
 210 1221 0 0
 211 1227 0 0
 212 1227 0 0
 213 1218 0 0
 214 1221 0 0
 215 1226 0 0
 216 1227 0 0
 217 1226 0 0
 218 1223 0 0
